"","system","country","origin","status","url","class","Date"
"278","BTR-80","Russia","Soviet Union","captured","https://web.archive.org/web/20220306205522/https://i.postimg.cc/pLJKZRL1/23.png","Armoured Personnel Carriers","03/06/2022"
"279","BTR-80","Ukraine","Soviet Union","captured","https://web.archive.org/web/20220306205522/https://i.postimg.cc/m2wPCdGj/f5.png","Armoured Personnel Carriers","03/06/2022"
"280","BTR-80","Ukraine","Soviet Union","captured","https://web.archive.org/web/20220306205522/https://i.postimg.cc/vmfmGWrJ/f433.png","Armoured Personnel Carriers","03/06/2022"
"281","BTR-80","Russia","Soviet Union","captured","https://web.archive.org/web/20220306205522/https://postimg.cc/9RpV5hjH","Armoured Personnel Carriers","03/06/2022"
"282","BTR-80","Russia","Soviet Union","captured","https://web.archive.org/web/20220306205522/https://i.postimg.cc/0yN9bKkZ/3d13.png","Armoured Personnel Carriers","03/06/2022"
"283","BTR-80","Russia","Soviet Union","captured","https://web.archive.org/web/20220306205522/https://i.postimg.cc/858P5L8g/Screenshot-8471.png","Armoured Personnel Carriers","03/06/2022"
"284","BTR-80","Russia","Soviet Union","captured","https://web.archive.org/web/20220306205522/https://i.postimg.cc/qMBBzkFq/Screenshot-8469.png","Armoured Personnel Carriers","03/06/2022"
"285","BTR-80","Ukraine","Soviet Union","destroyed","https://web.archive.org/web/20220306205522/https://i.postimg.cc/Sj0VZnW6/446i.png","Armoured Personnel Carriers","03/06/2022"
"286","BTR-80","Russia","Soviet Union","destroyed","https://web.archive.org/web/20220306205522/https://i.postimg.cc/nzTPBQHM/n1.png","Armoured Personnel Carriers","03/06/2022"
"287","BTR-80","Ukraine","Soviet Union","destroyed","https://web.archive.org/web/20220306205522/https://i.postimg.cc/1X15nzYz/670.png","Armoured Personnel Carriers","03/06/2022"
"288","BTR-80","Russia","Soviet Union","destroyed","https://web.archive.org/web/20220306205522/https://i.postimg.cc/ZRMNRmvg/g433.jpg","Armoured Personnel Carriers","03/06/2022"
"289","BTR-80","Russia","Soviet Union","destroyed","https://web.archive.org/web/20220306205522/https://postimg.cc/nMd2b4qs","Armoured Personnel Carriers","03/06/2022"
"290","BTR-80","Ukraine","Soviet Union","captured","https://web.archive.org/web/20220306205522/https://i.postimg.cc/k4Pf76VB/v1.png","Armoured Personnel Carriers","03/06/2022"
"291","BTR-80","Ukraine","Soviet Union","captured","https://web.archive.org/web/20220306205522/https://i.postimg.cc/NM8bFsTb/v2.png","Armoured Personnel Carriers","03/06/2022"
"292","BTR-80","Russia","Soviet Union","destroyed","https://web.archive.org/web/20220306205522/https://i.postimg.cc/FF8stwCs/5g8.jpg","Armoured Personnel Carriers","03/06/2022"
"293","BTR-80","Russia","Soviet Union","destroyed","https://web.archive.org/web/20220306205522/https://i.postimg.cc/dthr29YX/ddfg.jpg","Armoured Personnel Carriers","03/06/2022"
"294","BTR-80","Russia","Soviet Union","abandoned","https://web.archive.org/web/20220306205522/https://i.postimg.cc/hGQ71FqT/h7.png","Armoured Personnel Carriers","03/06/2022"
"295","BTR-80","Russia","Soviet Union","captured","https://web.archive.org/web/20220306205522/https://i.postimg.cc/cJCm25Z1/n2.png","Armoured Personnel Carriers","03/06/2022"
"296","BTR-80","Russia","Soviet Union","damaged","https://web.archive.org/web/20220306205522/https://i.postimg.cc/HsQGV9qw/nm.jpg","Armoured Personnel Carriers","03/06/2022"
"297","BTR-80","Russia","Soviet Union","captured","https://web.archive.org/web/20220306205522/https://i.postimg.cc/J7gs84ZC/456.png","Armoured Personnel Carriers","03/06/2022"
"298","BTR-80","Russia","Soviet Union","destroyed","https://web.archive.org/web/20220306205522/https://i.postimg.cc/Dwp3QN7Q/Screenshot-8275.png","Armoured Personnel Carriers","03/06/2022"
"299","BTR-80","Russia","Soviet Union","captured","https://web.archive.org/web/20220306205522/https://i.postimg.cc/8cymMnKf/4433.png","Armoured Personnel Carriers","03/06/2022"
"300","BTR-80","Russia","Soviet Union","captured","https://web.archive.org/web/20220306205522/https://i.postimg.cc/8krZNc9h/545.png","Armoured Personnel Carriers","03/06/2022"
"301","BTR-80","Russia","Soviet Union","captured","https://web.archive.org/web/20220306205522/https://i.postimg.cc/pXBzH5Qc/554.png","Armoured Personnel Carriers","03/06/2022"
"302","BTR-80","Russia","Soviet Union","abandoned","https://web.archive.org/web/20220306205522/https://i.postimg.cc/gcn1yNwd/h6.png","Armoured Personnel Carriers","03/06/2022"
"303","BTR-80","Russia","Soviet Union","destroyed","https://web.archive.org/web/20220306205522/https://i.postimg.cc/wj4RK6bb/235.png","Armoured Personnel Carriers","03/06/2022"
