"","country","system","abandoned","damaged","captured","destroyed","total","Date"
"244","Ukraine","18 UAZ-39094",0,1,1,17,19,"02/28/2024"
"245","Ukraine","184 152mm 2S19 Msta-S",4,11,33,125,173,"02/28/2024"
"246","Ukraine","19 122mm 2B17 Tornado-G",0,4,8,9,21,"02/28/2024"
"247","Ukraine","19 9A310M1-2 TELAR (for Buk-M1-2)",0,4,0,15,19,"02/28/2024"
"248","Ukraine","193 BTR-80",8,8,56,122,194,"02/28/2024"
"249","Ukraine","199 BMP-2(K)",10,10,25,152,197,"02/28/2024"
"250","Ukraine","199 MT-LBVM and MT-LBVMK",10,6,94,92,202,"02/28/2024"
"251","Ukraine","1L219 (for Zoopark counter-battery radar complex)",0,1,0,1,2,"02/28/2024"
"252","Ukraine","1L22 'Parol'",0,1,1,3,5,"02/28/2024"
"253","Ukraine","1L261 (for 1L260 Zoopark-1M counter-battery radar complex)",0,2,2,6,10,"02/28/2024"
"254","Ukraine","1L262E Rtut-BM",0,0,0,1,1,"02/28/2024"
"255","Ukraine","1L271 Aistyonok portable mortar locating reconnaissance radar",0,0,1,2,3,"02/28/2024"
"256","Ukraine","1RL257 Krasukha-4 (command post)",0,0,1,0,1,"02/28/2024"
"257","Ukraine","1V119 artillery fire direction vehicle",0,0,8,3,11,"02/28/2024"
"258","Ukraine","1V13(M) battery fire control center",3,1,12,9,25,"02/28/2024"
"259","Ukraine","1V14 battery command and forward observer vehicle",0,0,1,7,8,"02/28/2024"
"260","Ukraine","1V15 battery command and forward observer vehicle",0,0,2,0,2,"02/28/2024"
"261","Ukraine","1V18 'Klyon-1' artillery command and forward observer vehicle",0,0,8,0,8,"02/28/2024"
"262","Ukraine","2 105mm L119 howitzer",0,2,0,0,2,"02/28/2024"
"263","Ukraine","2 120mm Alakran",0,0,0,2,2,"02/28/2024"
"264","Ukraine","2 120mm BRM-1K with 2S9 Nona turret",0,0,0,2,2,"02/28/2024"
"265","Ukraine","2 155mm ShKH Zuzana 2",0,1,0,1,2,"02/28/2024"
"266","Ukraine","2 1K148 ""Yastreb-AV"" artillery reconnaissance complex",0,0,0,2,2,"02/28/2024"
"267","Ukraine","2 1V13 battery command and forward observer vehicle",0,0,0,2,2,"02/28/2024"
"268","Ukraine","2 1V15M fire control and observation vehicle",0,0,0,2,2,"02/28/2024"
"269","Ukraine","2 1V16M artillery battalion command and staff vehicle",0,0,0,2,2,"02/28/2024"
"270","Ukraine","2 1V18 'Klyon-1' artillery command and forward observer vehicle",0,0,0,2,2,"02/28/2024"
"271","Ukraine","2 2K22M Tunguska-M",0,0,1,1,2,"02/28/2024"
"272","Ukraine","2 57mm AZP S-60",0,0,0,2,2,"02/28/2024"
"273","Ukraine","2 9K331MDT TLAR Tor-M2DT",0,0,0,2,2,"02/28/2024"
"274","Ukraine","2 9S18 Kupol (for Buk-M1-2/M2)",0,0,0,2,2,"02/28/2024"
"275","Ukraine","2 AP-2 mobile emergency room based on KamAZ 6x6",0,0,2,0,2,"02/28/2024"
"276","Ukraine","2 APA-5D airfield starter vehicle",0,0,0,2,2,"02/28/2024"
"277","Ukraine","2 BMK-MT towing and motor boat",0,0,0,2,2,"02/28/2024"
"278","Ukraine","2 BMM-80 ambulance",0,0,0,2,2,"02/28/2024"
"279","Ukraine","2 BRDM-2-based ZS-82 PsyOps vehicle",0,0,1,1,2,"02/28/2024"
"280","Ukraine","2 BRDM-2RKhb chemical reconnaissance vehicle",0,0,2,0,2,"02/28/2024"
"281","Ukraine","2 BTR-50",1,1,0,1,3,"02/28/2024"
"282","Ukraine","2 Bayraktar Mini",0,0,1,1,2,"02/28/2024"
"283","Ukraine","2 Beriev A-50",0,0,0,2,2,"02/28/2024"
"284","Ukraine","2 Chaklun",0,0,1,1,2,"02/28/2024"
"285","Ukraine","2 Coastal link pontoon (for PMP(-M) floating bridge system)",0,0,1,1,2,"02/28/2024"
"286","Ukraine","2 Coastal link pontoon (for unknown floating bridge system)",0,0,2,0,2,"02/28/2024"
"287","Ukraine","2 Control station for the TB2 UCAV",0,0,0,1,1,"02/28/2024"
"288","Ukraine","2 Eleron-10",0,0,1,1,2,"02/28/2024"
"289","Ukraine","2 GAZ-3308",0,0,1,1,2,"02/28/2024"
"290","Ukraine","2 GAZ-53",0,0,2,0,2,"02/28/2024"
"291","Ukraine","2 GAZ-63",0,0,0,2,2,"02/28/2024"
"292","Ukraine","2 ISDM Zemledeliye remote mine-laying system",0,0,0,2,2,"02/28/2024"
"293","Ukraine","2 Iveco VM90",0,1,0,1,2,"02/28/2024"
"294","Ukraine","2 KamAZ 'Gorets' 3958",0,1,1,1,3,"02/28/2024"
"295","Ukraine","2 KamAZ-53501 (for PMP-M floating bridge system)",0,0,0,2,2,"02/28/2024"
"296","Ukraine","2 KrAZ-6446",0,0,0,2,2,"02/28/2024"
"297","Ukraine","2 Launcher for S-300",0,0,0,2,2,"02/28/2024"
"298","Ukraine","2 Leer-3 electronic warfare system",0,0,1,1,2,"02/28/2024"
"299","Ukraine","2 M1123 HMMWV",0,0,0,2,2,"02/28/2024"
"300","Ukraine","2 MAZ-5337 fuel tanker",0,1,1,1,3,"02/28/2024"
"301","Ukraine","2 MP-2IM signals vehicle",0,0,1,1,2,"02/28/2024"
"302","Ukraine","2 MPUS-K mobile command post",0,0,0,2,2,"02/28/2024"
"303","Ukraine","2 MSh-5350.1 command vehicle",0,0,1,1,2,"02/28/2024"
"304","Ukraine","2 MZA-M.1 battery charge and repair workshop",0,0,1,1,2,"02/28/2024"
"305","Ukraine","2 Mi-17V5",0,0,0,2,2,"02/28/2024"
"306","Ukraine","2 Mobile field bathhouse PPB-32VU based on the Ural-53236",0,0,1,1,2,"02/28/2024"
