"","country","system","damaged","captured","abandoned","destroyed","total","Date"
"241","Ukraine","2 1V15M fire control and observation vehicle",0,0,0,2,2,"12/27/2023"
"242","Ukraine","2 1V18 'Klyon-1' artillery command and forward observer vehicle",0,0,0,2,2,"12/27/2023"
"243","Ukraine","2 57mm AZP S-60",0,0,0,2,2,"12/27/2023"
"244","Ukraine","2 9K331MDT TLAR Tor-M2DT",0,0,0,2,2,"12/27/2023"
"245","Ukraine","2 BMK-MT towing and motor boat",0,0,0,2,2,"12/27/2023"
"246","Ukraine","2 BMM-80 ambulance",0,0,0,2,2,"12/27/2023"
"247","Ukraine","2 BPzV Svatava combat reconnaissance vehicle",0,0,0,2,2,"12/27/2023"
"248","Ukraine","2 BRDM-2-based ZS-82 PsyOps vehicle",0,1,0,1,2,"12/27/2023"
"249","Ukraine","2 BRDM-2RKhb chemical reconnaissance vehicle",0,2,0,0,2,"12/27/2023"
"250","Ukraine","2 Bayraktar Mini",0,1,0,1,2,"12/27/2023"
"251","Ukraine","2 Bergepanzer 3 armoured recovery vehicle",0,0,0,2,2,"12/27/2023"
"252","Ukraine","2 Chaklun",0,1,0,1,2,"12/27/2023"
"253","Ukraine","2 Control station for the TB2 UCAV",0,0,0,1,1,"12/27/2023"
"254","Ukraine","2 GAZ-3308",0,1,0,1,2,"12/27/2023"
"255","Ukraine","2 GAZ-53",0,2,0,0,2,"12/27/2023"
"256","Ukraine","2 GAZ-63",0,0,0,2,2,"12/27/2023"
"257","Ukraine","2 ISDM Zemledeliye remote mine-laying system",0,0,0,2,2,"12/27/2023"
"258","Ukraine","2 Il-22 airborne command post",1,0,0,1,2,"12/27/2023"
"259","Ukraine","2 Iveco VM90",1,0,0,1,2,"12/27/2023"
"260","Ukraine","2 KamAZ 'Gorets' 3958",1,1,0,1,3,"12/27/2023"
"261","Ukraine","2 KamAZ 6x4",0,1,0,1,2,"12/27/2023"
"262","Ukraine","2 KrAZ-6446",0,0,0,2,2,"12/27/2023"
"263","Ukraine","2 L-39 Albatros",0,0,0,1,1,"12/27/2023"
"264","Ukraine","2 Leer-3 electronic warfare system",0,1,0,1,2,"12/27/2023"
"265","Ukraine","2 M1123 HMMWV",0,0,0,2,2,"12/27/2023"
"266","Ukraine","2 MAZ-5337 fuel tanker",0,0,0,2,2,"12/27/2023"
"267","Ukraine","2 MP-2IM signals vehicle",0,1,0,1,2,"12/27/2023"
"268","Ukraine","2 MPUS-K mobile command post",0,0,0,2,2,"12/27/2023"
"269","Ukraine","2 MSh-5350.1 command vehicle",0,1,0,1,2,"12/27/2023"
"270","Ukraine","2 MT-LB with 100mm MT-12 anti-tank gun",0,0,0,2,2,"12/27/2023"
"271","Ukraine","2 MZA-M.1 battery charge and repair workshop",0,1,0,1,2,"12/27/2023"
"272","Ukraine","2 Orlik",0,1,0,1,2,"12/27/2023"
"273","Ukraine","2 P-18-2 2D VHF surveillance radar",0,0,0,2,2,"12/27/2023"
"274","Ukraine","2 PRP-3 with a BMP-1 turret",0,0,0,2,2,"12/27/2023"
"275","Ukraine","2 PRP-4(M) artillery reconnaissance vehicle",0,0,0,2,2,"12/27/2023"
"276","Ukraine","2 Palantin EW system",0,0,0,2,2,"12/27/2023"
"277","Ukraine","2 Penguin C",0,2,0,0,2,"12/27/2023"
