"","system","country","origin","status","url","class","Date"
"68","GAZ Sobol",NA,"Russia","destroyed","https://web.archive.org/web/20220227175728/https://i.postimg.cc/gkPg5HgC/Screenshot-8289.png","Trucks, Vehicles, and Jeeps","02/27/2022"
"69","GAZ Tigr-M",NA,"Russia","abandoned","https://web.archive.org/web/20220227175728/https://postimg.cc/KKD3Shmf","Infantry Mobility Vehicles","02/27/2022"
"70","GAZ Tigr-M",NA,"Russia","destroyed","https://web.archive.org/web/20220227175728/https://i.postimg.cc/XYsxrSnW/Screenshot-8293.png","Infantry Mobility Vehicles","02/27/2022"
"71","GAZ Tigr-M",NA,"Russia","damaged","https://web.archive.org/web/20220227175728/https://i.postimg.cc/ZKDrDbck/85.png","Infantry Mobility Vehicles","02/27/2022"
"72","GAZ Tigr-M",NA,"Russia","captured","https://web.archive.org/web/20220227175728/https://i.postimg.cc/dVQxVhc7/58p.png","Infantry Mobility Vehicles","02/27/2022"
"73","GAZ Tigr-M",NA,"Russia","captured","https://web.archive.org/web/20220227175728/https://i.postimg.cc/JzBRKYtc/5j.png","Infantry Mobility Vehicles","02/27/2022"
"74","GAZ Tigr-M",NA,"Russia","destroyed","https://web.archive.org/web/20220227175728/https://i.postimg.cc/26Q08q6c/m9.png","Infantry Mobility Vehicles","02/27/2022"
"75","GAZ Tigr-M",NA,"Russia","destroyed","https://web.archive.org/web/20220227175728/https://postimg.cc/f3bh0QRp","Infantry Mobility Vehicles","02/27/2022"
"76","GAZ Tigr-M",NA,"Russia","destroyed","https://web.archive.org/web/20220227175728/https://i.postimg.cc/W1VpzFcv/5578.png","Infantry Mobility Vehicles","02/27/2022"
"77","GAZ Tigr-M",NA,"Russia","destroyed","https://web.archive.org/web/20220227175728/https://i.postimg.cc/RFjRh5VD/776d.png","Infantry Mobility Vehicles","02/27/2022"
"78","GAZ Tigr-M",NA,"Russia","destroyed","https://web.archive.org/web/20220227175728/https://postimg.cc/jnsX0hVw","Infantry Mobility Vehicles","02/27/2022"
"79","GAZ-3308",NA,"Russia","abandoned","https://web.archive.org/web/20220227175728/https://postimg.cc/cg7mbbzG","Trucks, Vehicles, and Jeeps","02/27/2022"
"80","GAZ-3308",NA,"Russia","abandoned","https://web.archive.org/web/20220227175728/https://postimg.cc/62xczXYh","Trucks, Vehicles, and Jeeps","02/27/2022"
"81","GAZ-66",NA,"Soviet Union","captured","https://web.archive.org/web/20220227175728/https://i.postimg.cc/ncy3jWxy/55488.png","Trucks, Vehicles, and Jeeps","02/27/2022"
"82","GAZ-66",NA,"Soviet Union","damaged","https://web.archive.org/web/20220227175728/https://i.postimg.cc/gj9TG17c/Screenshot-8228.png","Trucks, Vehicles, and Jeeps","02/27/2022"
"83","GAZ-66",NA,"Soviet Union","captured","https://web.archive.org/web/20220227175728/https://i.postimg.cc/jdz0Gbd5/Screenshot-8054.png","Trucks, Vehicles, and Jeeps","02/27/2022"
"84","GAZ-66",NA,"Soviet Union","damaged","https://web.archive.org/web/20220227175728/https://i.postimg.cc/YC0mqTkH/58.png","Trucks, Vehicles, and Jeeps","02/27/2022"
"85","GAZ-66",NA,"Soviet Union","damaged","https://web.archive.org/web/20220227175728/https://i.postimg.cc/gjhmvGsF/g3.png","Trucks, Vehicles, and Jeeps","02/27/2022"
"86","GAZ-66",NA,"Soviet Union","destroyed","https://web.archive.org/web/20220227175728/https://postimg.cc/PP20VdH5","Trucks, Vehicles, and Jeeps","02/27/2022"
"87","GAZ-66",NA,"Soviet Union","captured","https://web.archive.org/web/20220227175728/https://i.postimg.cc/1RVZrFkD/Screenshot-8053.png","Trucks, Vehicles, and Jeeps","02/27/2022"
"88","GAZ-66",NA,"Soviet Union","destroyed","https://web.archive.org/web/20220227175728/https://i.postimg.cc/hjdXLc6L/4f.png","Trucks, Vehicles, and Jeeps","02/27/2022"
"89","GAZ-66",NA,"Soviet Union","abandoned","https://web.archive.org/web/20220227175728/https://i.postimg.cc/qvyKsBvd/Screenshot-8260.png","Trucks, Vehicles, and Jeeps","02/27/2022"
"90","GAZ-66",NA,"Soviet Union","captured","https://web.archive.org/web/20220227175728/https://i.postimg.cc/9MGPZgQM/Screenshot-8017.png","Trucks, Vehicles, and Jeeps","02/27/2022"
"91","HMMWV",NA,"United States","destroyed","https://web.archive.org/web/20220227175728/https://i.postimg.cc/bY3x4Pp9/4478.png","Infantry Mobility Vehicles","02/27/2022"
"92","IMR-2 combat engineering vehicle",NA,"Soviet Union","destroyed","https://web.archive.org/web/20220227175728/https://i.postimg.cc/xdbysNZ7/5548.png","Engineering Vehicles","02/27/2022"
"93","Iveco LMV 'Rys'",NA,"Italy","captured","https://web.archive.org/web/20220227175728/https://i.postimg.cc/C5gfTFhF/680o.png","Infantry Mobility Vehicles","02/27/2022"
"94","KamAZ",NA,"Soviet Union","destroyed","https://web.archive.org/web/20220227175728/https://i.postimg.cc/6pr9sdqZ/Screenshot-8019.png","Trucks, Vehicles, and Jeeps","02/27/2022"
"95","KamAZ 6x6",NA,"Russia","destroyed","https://web.archive.org/web/20220227175728/https://i.postimg.cc/jj8q1SB0/Screenshot-8210.png","Communications Stations","02/27/2022"
"96","KamAZ 6x6",NA,"Russia","captured","https://web.archive.org/web/20220227175728/https://i.postimg.cc/gJ6f7NZ3/57.png","Communications Stations","02/27/2022"
"97","KamAZ 6x6",NA,"Russia","captured","https://web.archive.org/web/20220227175728/https://i.postimg.cc/DZ0Q5pHc/6652.png","Communications Stations","02/27/2022"
"98","KamAZ 6x6",NA,"Russia","captured","https://web.archive.org/web/20220227175728/https://i.postimg.cc/23RZybKP/6800.png","Communications Stations","02/27/2022"
"99","KamAZ 6x6",NA,"Russia","destroyed","https://web.archive.org/web/20220227175728/https://i.postimg.cc/nc8Fg5Sz/Screenshot-8215.png","Communications Stations","02/27/2022"
"100","KamAZ 6x6",NA,"Russia","captured","https://web.archive.org/web/20220227175728/https://i.postimg.cc/VkXF0qmD/6599.png","Communications Stations","02/27/2022"
"101","KamAZ 6x6",NA,"Russia","captured","https://web.archive.org/web/20220227175728/https://i.postimg.cc/Bbj44g2S/5580.png","Communications Stations","02/27/2022"
"102","KamAZ 6x6",NA,"Russia","destroyed","https://web.archive.org/web/20220227175728/https://i.postimg.cc/wjDYJj9c/Screenshot-8224.png","Communications Stations","02/27/2022"
"103","KamAZ 6x6",NA,"Russia","abandoned","https://web.archive.org/web/20220227175728/https://i.postimg.cc/9F0M05Tb/Screenshot-8232.png","Communications Stations","02/27/2022"
"104","KamAZ 6x6",NA,"Russia","destroyed","https://web.archive.org/web/20220227175728/https://i.postimg.cc/mhW4vFLD/Screenshot-8193.png","Communications Stations","02/27/2022"
"105","KamAZ 6x6",NA,"Russia","damaged","https://web.archive.org/web/20220227175728/https://i.postimg.cc/DfxxKLnD/84.png","Communications Stations","02/27/2022"
"106","KamAZ 6x6",NA,"Russia","captured","https://web.archive.org/web/20220227175728/https://i.postimg.cc/Hn7xkb8m/688.png","Communications Stations","02/27/2022"
"107","KamAZ 6x6",NA,"Russia","destroyed","https://web.archive.org/web/20220227175728/https://i.postimg.cc/K8dLcdtV/h0.png","Communications Stations","02/27/2022"
"108","KamAZ 6x6",NA,"Russia","destroyed","https://web.archive.org/web/20220227175728/https://i.postimg.cc/G2Ndj56v/Screenshot-8192.png","Communications Stations","02/27/2022"
"109","KamAZ 6x6",NA,"Russia","destroyed","https://web.archive.org/web/20220227175728/https://i.postimg.cc/nrMnttVL/7k.png","Communications Stations","02/27/2022"
"110","KamAZ 6x6",NA,"Russia","destroyed","https://web.archive.org/web/20220227175728/https://i.postimg.cc/MpmpyDDG/Screenshot-8209.png","Communications Stations","02/27/2022"
