"","latitude","longitude","brightness","scan","track","acq_date","acq_time","satellite","instrument","confidence","version","bright_t31","frp","daynight"
"187",38.79539,15.21366,296.99,0.45,0.39,2022-03-14,37,1,"VIIRS","n","2.0NRT",275.13,1.47,"N"
"188",36.72111,36.2015,307.01,0.79,0.78,2022-03-14,37,1,"VIIRS","n","2.0NRT",275.54,2.78,"N"
"189",37.05398,11.0155,309.8,0.45,0.47,2022-03-14,37,1,"VIIRS","n","2.0NRT",280.5,1.13,"N"
"190",32.61704,22.72507,310.18,0.57,0.43,2022-03-14,37,1,"VIIRS","n","2.0NRT",276.16,2.08,"N"
"191",37.05188,11.01374,310.29,0.45,0.47,2022-03-14,37,1,"VIIRS","n","2.0NRT",280.89,0.93,"N"
"192",35.45679,4.96409,295.98,0.47,0.64,2022-03-14,37,1,"VIIRS","n","2.0NRT",278.88,0.7,"N"
"193",40.50145,17.20116,305.01,0.41,0.37,2022-03-14,37,1,"VIIRS","n","2.0NRT",276.55,1.31,"N"
"194",40.63029,18.0005,308.62,0.39,0.37,2022-03-14,37,1,"VIIRS","n","2.0NRT",275.43,1.25,"N"
"195",40.75988,14.90128,295.7,0.49,0.4,2022-03-14,37,1,"VIIRS","n","2.0NRT",274.44,0.63,"N"
"196",38.79613,15.2077,325.64,0.45,0.39,2022-03-14,37,1,"VIIRS","n","2.0NRT",276.51,1.47,"N"
"197",40.5177,17.20996,307.41,0.41,0.37,2022-03-14,37,1,"VIIRS","n","2.0NRT",279.17,1.28,"N"
"198",40.50079,17.20595,323.25,0.41,0.37,2022-03-14,37,1,"VIIRS","n","2.0NRT",278.63,3.01,"N"
"199",40.5069,17.21234,326.5,0.41,0.37,2022-03-14,37,1,"VIIRS","n","2.0NRT",280.48,3.84,"N"
"200",40.50285,17.21631,301.42,0.41,0.37,2022-03-14,37,1,"VIIRS","n","2.0NRT",282.01,1.02,"N"
"201",33.923,12.67658,327.6,0.51,0.41,2022-03-14,37,1,"VIIRS","n","2.0NRT",287.77,3.3,"N"
"202",45.98488,17.73674,304.12,0.44,0.38,2022-03-14,37,1,"VIIRS","n","2.0NRT",268.23,1.16,"N"
"203",45.64306,19.33644,319.99,0.4,0.37,2022-03-14,37,1,"VIIRS","n","2.0NRT",265.05,1.97,"N"
"204",46.06938,13.62799,304.26,0.42,0.45,2022-03-14,37,1,"VIIRS","n","2.0NRT",272.68,1.25,"N"
